Código,Regla,MCC,Tipo de Regla,Descripción,Probabilidad,Consecuencia,Calificación,Nivel de riesgo
1000291,MCC 7230 Sala de belleza,7230,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Menor,2,
1000295,MCC 7994 Videojuegos,7994,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000296,MCC 5532 Venta de neumáticos,5532,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Mayor,8,
1000297,MCC 7841 Alquiler de vídeos/películas,7841,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000299,MCC 5732 Venta de electrodomésticos,5732,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000300,MCC 5732 Páginas Web / desarrollo de software,5732,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Mayor,8,
1000301,MCC 5251 Ferretería,5251,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Mayor,8,
1000303,MCC 4582 Aeropuerto,4582,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000304,MCC 7538 Talleres,7538,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Medio,Moderado,8,
1000305,MCC 5533 Accesorios de auto,5533,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Medio,Moderado,8,
1000310,MCC 5193 vivero,5193,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000312,MCC 7210 Lavanderias,7210,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Medio,Menor,4,
1000313,MCC 5441 Tienda de golosinas,5441,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Medio,Menor,4,
1000314,MCC 5812 Restaurantes,5812,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Medio,Menor,4,
1000315,MCC 5814 Comidas rápidas,5814,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Medio,Menor,4,
